metier,identifiant,competences,savoir-etre
Chef de produit technique en informatique,147GJYM,"Contrôler le déroulement de travaux. Contrôler le fonctionnement d'un outil ou équipement. Contrôler une opération de maintenance. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Effectuer une assistance technique. Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logiques et physiques. Ordonnancer le déroulement des travaux et mettre en oeuvre les traitements d'exploitation/production des ressources informatiques. Planifier des interventions de maintenance. Réaliser la maintenance de premier niveau de matériel informatique. Superviser et vérifier l'état des ressources informatiques, réaliser les sauvegardes et les archivages de données. Traiter l'information (collecter, classer et mettre à jour)",Capacité d'adaptation. Réactivité. Rigueur
Concepteur de jeux vidéo,139LBWV,Analyser les besoins du client. Définir les modalités d'un projet avec son commanditaire. Définir un concept créatif en fonction du support choisi. Présenter un projet à des clients ou à des collaborateurs. Traduire un concept ou un script en représentation visuelle,
Concepteur de jeux vidéo,137DFMC,Bonne connaissance et maîtrise de JIRA. Analyser les besoins du client. Définir les modalités d'un projet avec son commanditaire. Définir un concept créatif en fonction du support choisi. Présenter un projet à des clients ou à des collaborateurs. Traduire un concept ou un script en représentation visuelle,
Concepteur de jeux vidéo,143FQJW,"Adobe Photoshop ou Substance designer. Maitriser After Effects ou Nuke. Maitriser moteur temps réel (Unity/Unreal Engine). Maitriser outils création 3D (Max, Maya, Houdini). Maitriser outils de création 2D. Simulations fluides avec Houdini, Maya ou Fume FX. Travailler avec des rigid bodies. Concevoir des projets en jeux vidéo. Concevoir un projet multimédia. Gestion de projet. Logiciel d'animation 3D. Techniques d'infographie",Travail en équipe. Autonomie. Rigueur
Concepteur de jeux vidéo,138WXLS,"Aptitude analyse et résolution de problemes. Capacité à élaborer des plans d'urgence. Français et anglais parlé/écrit. Gérer des équipes pluridisciplinaires. Innover, faire preuve de proactivité et diplomatie. Analyser les besoins du client. Coordonner les différentes étapes d'un projet. Définir un concept créatif en fonction du support choisi. Gestion de projet. Piloter un projet",Sens de l'organisation. Sens de la communication. Travail en équipe
Concepteur de jeux vidéo,138SPWB,Analyser les besoins du client. Coordonner les différentes étapes d'un projet. Gestion de projet. Piloter un projet. Définir un concept créatif en fonction du support choisi,Autonomie. Capacité à fédérer. Prise de recul
Concepteur de jeux vidéo,133FQQV,Maitrise de l'Anglais. Analyser les besoins du client. Coordonner les différentes étapes d'un projet. Définir un concept créatif en fonction du support choisi. Gestion de projet. Piloter un projet,
Concepteur de jeux vidéo,130YHSW,Ecriture des shaders et du motion design. Expérience en scripting. Familiarité avec les bibliotheques graphiques/UI. Passion pour les jeux vidéo. Suite Adobe Creative. Logiciel d'animation 3D,Capacité d'adaptation. Travail en équipe. Sens de la communication
Concepteur de jeux vidéo,130YFSY,"Bonne culture du jeu vidéo. Compétences en performance, optimisation, méthode. Edition de graph nodal. Modélisation de l'environnement, l¿Animation, .... Moteur de jeu. Outils 3DS Max, Substance Designer, Maya, Blender",Force de proposition. Travail en équipe. Capacité à fédérer
Concepteur de jeux vidéo,7321661,,
